Hospital_name,Address,Phone_number,Rating,No_of_people_rated,Reviews,latitude,longitude
LifePlus Hospital RT Nagar,"19, Lake View Rd, RT Nagar, Bangalore",+91 9210076123,4.6,948,Emergency services were very fast,13.030884,77.537171
Shanthi Hospital Marathahalli,"113, 100 ft Rd, Marathahalli, Bangalore",+91 9812430200,4.1,457,Average waiting time but good treatment,13.010908,77.498028
Narayana Hospital Domlur,"141, Service Rd, Domlur, Bangalore",+91 7494880556,3.6,1980,Doctors explained the treatment clearly,13.096477,77.598509
Sri Lakshmi Hospital Marathahalli,"70, Market Rd, Marathahalli, Bangalore",+91 7599271927,4.4,643,Friendly nurses and well maintained facility,12.851381,77.549873
Sri Lakshmi Hospital Banashankari,"167, Lake View Rd, Banashankari, Bangalore",+91 7669940191,4.6,1296,Doctors explained the treatment clearly,12.918875,77.525398
Aster Hospital Marathahalli,"40, Hospital Rd, Marathahalli, Bangalore",+91 8515357081,4.1,2012,Good infrastructure and hygiene,12.896848,77.532535
Rainbow Hospital RT Nagar,"48, Ring Rd, RT Nagar, Bangalore",+91 9180734118,3.6,1817,Average waiting time but good treatment,13.119648,77.716317
Cloudnine Hospital HSR Layout,"52, 2nd Stage, HSR Layout, Bangalore",+91 9301744098,3.3,1045,Clean hospital with quick service,13.068936,77.47882
Apollo Hospital Frazer Town,"144, 100 ft Rd, Frazer Town, Bangalore",+91 6165677337,4.5,1635,Average waiting time but good treatment,13.129888,77.743402
MedStar Hospital Domlur,"1, Hospital Rd, Domlur, Bangalore",+91 8806747938,3.3,1503,Clean hospital with quick service,12.908474,77.718474
Vijaya Hospital Yelahanka,"185, Service Rd, Yelahanka, Bangalore",+91 9610251692,4.8,624,Affordable and reliable healthcare,12.9528,77.438803
Cloudnine Hospital Domlur,"179, 2nd Stage, Domlur, Bangalore",+91 7280474913,3.8,1563,Good infrastructure and hygiene,12.821653,77.636134
Sparsh Hospital Electronic City,"193, 1st Cross, Electronic City, Bangalore",+91 8890752067,3.6,1962,Clean hospital with quick service,12.817968,77.5338
Ananya Hospital KR Puram,"188, Main Rd, KR Puram, Bangalore",+91 8290374794,3.7,993,Good doctors and supportive staff,13.059824,77.619503
Apollo Hospital HSR Layout,"59, 2nd Stage, HSR Layout, Bangalore",+91 7853650100,3.1,1975,Good doctors and supportive staff,13.097247,77.535132
Vijaya Hospital HSR Layout,"83, 100 ft Rd, HSR Layout, Bangalore",+91 6850144645,4.2,1964,Good doctors and supportive staff,12.983105,77.515605
Sparsh Hospital Banashankari,"25, 1st Cross, Banashankari, Bangalore",+91 6422696561,3.9,535,Good infrastructure and hygiene,13.187253,77.75453
Cloudnine Hospital BTM Layout,"58, Market Rd, BTM Layout, Bangalore",+91 7224739839,3.5,1458,Doctors explained the treatment clearly,13.012497,77.707721
LifePlus Hospital Malleshwaram,"79, Service Rd, Malleshwaram, Bangalore",+91 7761027075,3.5,1387,Clean hospital with quick service,12.911342,77.428591
Narayana Hospital Basavanagudi,"4, 2nd Stage, Basavanagudi, Bangalore",+91 6761473165,3.7,2088,Doctors explained the treatment clearly,13.019101,77.720407
Columbia Asia Hospital BTM Layout,"136, Market Rd, BTM Layout, Bangalore",+91 6774062127,4.6,286,Average waiting time but good treatment,13.085503,77.72193
CityCare Hospital Hebbal,"79, 100 ft Rd, Hebbal, Bangalore",+91 8391127703,3.8,611,Friendly nurses and well maintained facility,12.870891,77.435168
Ananya Hospital Indiranagar,"1, Ring Rd, Indiranagar, Bangalore",+91 9414336833,3.1,428,Friendly nurses and well maintained facility,13.197804,77.726346
CityCare Hospital Frazer Town,"45, Main Rd, Frazer Town, Bangalore",+91 7615244288,3.6,2108,Doctors explained the treatment clearly,12.885762,77.737042
MedStar Hospital HSR Layout,"98, 2nd Stage, HSR Layout, Bangalore",+91 8822788195,3.1,594,Doctors explained the treatment clearly,12.990496,77.708053
Shanthi Hospital Kengeri,"30, Service Rd, Kengeri, Bangalore",+91 9677253644,4.5,541,Good infrastructure and hygiene,12.849843,77.501281
Ananya Hospital Jayanagar,"70, Market Rd, Jayanagar, Bangalore",+91 6244977139,3.8,2209,Emergency services were very fast,12.915196,77.748566
Apollo Hospital Rajajinagar,"167, Lake View Rd, Rajajinagar, Bangalore",+91 6691637328,3.3,762,Affordable and reliable healthcare,12.937598,77.614675
Ananya Hospital Bellandur,"56, 100 ft Rd, Bellandur, Bangalore",+91 9072073655,3.1,2064,Good doctors and supportive staff,12.846332,77.657323
MedStar Hospital Rajajinagar,"179, Outer Ring Rd, Rajajinagar, Bangalore",+91 8797396811,4.1,1687,Doctors explained the treatment clearly,13.084448,77.672005
PrimeCare Hospital KR Puram,"57, Ring Rd, KR Puram, Bangalore",+91 7463647731,4,514,Friendly nurses and well maintained facility,12.806772,77.774289
MedStar Hospital Rajajinagar,"13, 2nd Stage, Rajajinagar, Bangalore",+91 6551477956,4.5,1408,Good doctors and supportive staff,13.196668,77.465974
Greenview Hospital Banashankari,"32, Main Rd, Banashankari, Bangalore",+91 8044333688,4.7,337,Doctors explained the treatment clearly,12.909644,77.545693
MedStar Hospital Sarjapur Road,"189, Ring Rd, Sarjapur Road, Bangalore",+91 6694281133,3,433,Doctors explained the treatment clearly,12.883569,77.427865
Sakra Hospital Marathahalli,"135, Main Rd, Marathahalli, Bangalore",+91 8935237301,4.3,1453,Good infrastructure and hygiene,13.182723,77.662209
Sri Lakshmi Hospital Marathahalli,"95, 2nd Stage, Marathahalli, Bangalore",+91 7694390248,3.8,1700,Good infrastructure and hygiene,13.009266,77.561027
Manipal Hospital Yelahanka,"198, 2nd Stage, Yelahanka, Bangalore",+91 8912836717,4.1,2294,Good infrastructure and hygiene,13.077176,77.734035
Vijaya Hospital RT Nagar,"38, Ring Rd, RT Nagar, Bangalore",+91 6267624269,4.4,456,Average waiting time but good treatment,13.170892,77.583331
Sparsh Hospital Jayanagar,"170, 1st Cross, Jayanagar, Bangalore",+91 7329442012,3.2,306,Friendly nurses and well maintained facility,12.848161,77.787333
Trustwell Hospital Bellandur,"169, 2nd Stage, Bellandur, Bangalore",+91 7250530077,3.3,1422,Good doctors and supportive staff,13.055824,77.578889
Apollo Hospital Sarjapur Road,"32, Lake View Rd, Sarjapur Road, Bangalore",+91 8120788991,3.4,1478,Good doctors and supportive staff,12.888962,77.552797
Vijaya Hospital Jayanagar,"98, 1st Cross, Jayanagar, Bangalore",+91 7987958233,4,1720,Doctors explained the treatment clearly,13.149478,77.529738
Fortis Hospital HSR Layout,"200, Hospital Rd, HSR Layout, Bangalore",+91 6213753017,4.1,394,Affordable and reliable healthcare,13.164167,77.742743
PrimeCare Hospital Marathahalli,"28, Service Rd, Marathahalli, Bangalore",+91 6522477351,3.4,1427,Friendly nurses and well maintained facility,13.088324,77.469306
Trustwell Hospital Sarjapur Road,"165, 100 ft Rd, Sarjapur Road, Bangalore",+91 9962922932,3.2,1186,Friendly nurses and well maintained facility,13.127411,77.658024
MedStar Hospital Rajajinagar,"184, Service Rd, Rajajinagar, Bangalore",+91 7425577875,4.3,894,Affordable and reliable healthcare,13.19844,77.684466
Trustwell Hospital Basavanagudi,"70, 100 ft Rd, Basavanagudi, Bangalore",+91 7648848896,4.5,1339,Friendly nurses and well maintained facility,13.111908,77.734678
Rainbow Hospital BTM Layout,"173, Hospital Rd, BTM Layout, Bangalore",+91 9501073087,3.4,2034,Friendly nurses and well maintained facility,13.127996,77.7406
Vijaya Hospital Electronic City,"114, Main Rd, Electronic City, Bangalore",+91 9364718492,3.2,1451,Clean hospital with quick service,13.055119,77.565729
Columbia Asia Hospital Frazer Town,"107, Outer Ring Rd, Frazer Town, Bangalore",+91 8012493912,4.3,326,Good doctors and supportive staff,12.984106,77.782208
Apollo Hospital Indiranagar,"53, 2nd Stage, Indiranagar, Bangalore",+91 9613869254,4.6,109,Good doctors and supportive staff,12.957546,77.726681
Narayana Hospital Electronic City,"133, Hospital Rd, Electronic City, Bangalore",+91 8740659454,3.9,211,Good infrastructure and hygiene,13.152211,77.786659
CityCare Hospital Whitefield,"50, Hospital Rd, Whitefield, Bangalore",+91 9379916454,4.2,1425,Clean hospital with quick service,12.997961,77.636659
Apollo Hospital Whitefield,"161, 2nd Stage, Whitefield, Bangalore",+91 6640923474,3.5,190,Affordable and reliable healthcare,12.913845,77.711755
Aster Hospital Rajajinagar,"80, Outer Ring Rd, Rajajinagar, Bangalore",+91 9397032003,3.6,342,Average waiting time but good treatment,13.192433,77.481358
Fortis Hospital Electronic City,"94, 1st Cross, Electronic City, Bangalore",+91 6605617427,4.7,2281,Affordable and reliable healthcare,13.133342,77.797715
Apollo Hospital Sarjapur Road,"181, Hospital Rd, Sarjapur Road, Bangalore",+91 8686268645,4.7,1797,Affordable and reliable healthcare,13.075459,77.521765
Aster Hospital Bellandur,"31, 2nd Stage, Bellandur, Bangalore",+91 8497832104,3.8,2146,Affordable and reliable healthcare,13.010128,77.510816
Sri Lakshmi Hospital HSR Layout,"23, 2nd Stage, HSR Layout, Bangalore",+91 7153618627,3.7,1630,Clean hospital with quick service,12.870342,77.663566
Ananya Hospital Bellandur,"97, 100 ft Rd, Bellandur, Bangalore",+91 6683771491,3.7,1312,Good doctors and supportive staff,13.149848,77.673958
Sparsh Hospital Rajajinagar,"146, 1st Cross, Rajajinagar, Bangalore",+91 6480316878,3,713,Clean hospital with quick service,12.826695,77.690404
LifePlus Hospital RT Nagar,"55, Service Rd, RT Nagar, Bangalore",+91 7314528951,3.6,131,Average waiting time but good treatment,12.862611,77.408038
Fortis Hospital Indiranagar,"154, 100 ft Rd, Indiranagar, Bangalore",+91 7422047662,3.8,1736,Affordable and reliable healthcare,13.14019,77.415268
Cloudnine Hospital Frazer Town,"16, Ring Rd, Frazer Town, Bangalore",+91 9283567880,4,768,Clean hospital with quick service,13.038627,77.78891
Shanthi Hospital Frazer Town,"116, 1st Cross, Frazer Town, Bangalore",+91 8167528872,4.3,848,Clean hospital with quick service,13.19538,77.683513
Shanthi Hospital Electronic City,"96, Market Rd, Electronic City, Bangalore",+91 8621731028,4.2,2332,Good infrastructure and hygiene,13.176442,77.498905
PrimeCare Hospital Domlur,"155, 2nd Stage, Domlur, Bangalore",+91 8893578748,3.5,136,Affordable and reliable healthcare,12.820328,77.666155
Ananya Hospital Yelahanka,"118, Outer Ring Rd, Yelahanka, Bangalore",+91 8920430276,4.6,1989,Good infrastructure and hygiene,13.047436,77.776777
Sparsh Hospital Basavanagudi,"25, Hospital Rd, Basavanagudi, Bangalore",+91 6749939594,3.4,486,Friendly nurses and well maintained facility,12.8873,77.669828
Greenview Hospital Sarjapur Road,"176, 2nd Stage, Sarjapur Road, Bangalore",+91 8182888513,3.5,399,Good infrastructure and hygiene,12.96932,77.574868
CityCare Hospital HSR Layout,"76, Hospital Rd, HSR Layout, Bangalore",+91 7329429785,3.7,718,Average waiting time but good treatment,12.906683,77.743003
Trustwell Hospital Bellandur,"105, 100 ft Rd, Bellandur, Bangalore",+91 9707328856,3.6,1692,Average waiting time but good treatment,12.903045,77.637085
Trustwell Hospital Bellandur,"164, Main Rd, Bellandur, Bangalore",+91 8681696723,4,464,Doctors explained the treatment clearly,12.952995,77.438584
Fortis Hospital Rajajinagar,"102, Market Rd, Rajajinagar, Bangalore",+91 6655583097,4.6,1499,Good doctors and supportive staff,12.967687,77.712959
Vijaya Hospital Yelahanka,"117, Hospital Rd, Yelahanka, Bangalore",+91 9890229216,3.3,371,Good doctors and supportive staff,13.172733,77.505477
MedStar Hospital Bellandur,"120, Hospital Rd, Bellandur, Bangalore",+91 8147436944,4.6,1091,Affordable and reliable healthcare,12.97645,77.747683
Trustwell Hospital Bellandur,"38, Market Rd, Bellandur, Bangalore",+91 7138153200,3.7,274,Friendly nurses and well maintained facility,13.164541,77.445684
Sri Lakshmi Hospital Marathahalli,"86, Outer Ring Rd, Marathahalli, Bangalore",+91 9782739793,3.8,1715,Doctors explained the treatment clearly,12.912248,77.602948
Narayana Hospital Yelahanka,"182, 1st Cross, Yelahanka, Bangalore",+91 7244941474,3.2,762,Good infrastructure and hygiene,13.118866,77.699351
Shanthi Hospital KR Puram,"51, Service Rd, KR Puram, Bangalore",+91 8295682029,4.6,1920,Good infrastructure and hygiene,12.915716,77.412338
Fortis Hospital Malleshwaram,"174, Ring Rd, Malleshwaram, Bangalore",+91 7492316731,4.4,509,Clean hospital with quick service,13.173565,77.57623
Sakra Hospital Electronic City,"171, 1st Cross, Electronic City, Bangalore",+91 6670222256,3.8,1489,Affordable and reliable healthcare,13.086618,77.471905
Aster Hospital Rajajinagar,"82, Lake View Rd, Rajajinagar, Bangalore",+91 7684377868,3.5,480,Affordable and reliable healthcare,13.004186,77.614299
Ananya Hospital Electronic City,"181, Hospital Rd, Electronic City, Bangalore",+91 9136055948,3.3,2383,Good doctors and supportive staff,12.951649,77.401114
Aster Hospital BTM Layout,"25, Ring Rd, BTM Layout, Bangalore",+91 8682472980,4,350,Affordable and reliable healthcare,13.058591,77.769357
CityCare Hospital Whitefield,"47, Lake View Rd, Whitefield, Bangalore",+91 9932982347,3.2,1663,Affordable and reliable healthcare,13.178174,77.573881
Manipal Hospital Jayanagar,"87, 100 ft Rd, Jayanagar, Bangalore",+91 6821856564,4.6,1862,Good infrastructure and hygiene,12.835346,77.750771
Sakra Hospital HSR Layout,"73, Service Rd, HSR Layout, Bangalore",+91 9795516888,3.1,1471,Friendly nurses and well maintained facility,13.174241,77.723148
Cloudnine Hospital Rajajinagar,"110, Outer Ring Rd, Rajajinagar, Bangalore",+91 8189176347,4.5,1929,Doctors explained the treatment clearly,13.138684,77.566802
Ananya Hospital Malleshwaram,"100, Main Rd, Malleshwaram, Bangalore",+91 9806615936,4.8,2307,Doctors explained the treatment clearly,12.991433,77.496443
Cloudnine Hospital Hebbal,"192, Hospital Rd, Hebbal, Bangalore",+91 6975259404,3.3,1976,Emergency services were very fast,13.071283,77.532871
CityCare Hospital Rajajinagar,"70, Outer Ring Rd, Rajajinagar, Bangalore",+91 6208473414,4.6,627,Clean hospital with quick service,13.097593,77.71283
LifePlus Hospital Banashankari,"168, 1st Cross, Banashankari, Bangalore",+91 6876926739,4,1294,Emergency services were very fast,12.862064,77.798476
Apollo Hospital Malleshwaram,"160, Service Rd, Malleshwaram, Bangalore",+91 8325662123,4.4,921,Clean hospital with quick service,13.120725,77.611329
Sakra Hospital Domlur,"179, Lake View Rd, Domlur, Bangalore",+91 7290558801,4.6,1372,Emergency services were very fast,12.919468,77.410523
Sparsh Hospital Kengeri,"92, Market Rd, Kengeri, Bangalore",+91 7183126913,3.2,1173,Clean hospital with quick service,13.134548,77.589488
Columbia Asia Hospital Yelahanka,"76, Lake View Rd, Yelahanka, Bangalore",+91 7436690990,3.4,1371,Doctors explained the treatment clearly,12.962989,77.420184
Greenview Hospital RT Nagar,"165, Main Rd, RT Nagar, Bangalore",+91 6021633582,4.5,1294,Clean hospital with quick service,12.847556,77.499522
Shanthi Hospital Whitefield,"25, Service Rd, Whitefield, Bangalore",+91 6480118706,4.6,1379,Friendly nurses and well maintained facility,12.872173,77.720892
LifePlus Hospital BTM Layout,"26, 2nd Stage, BTM Layout, Bangalore",+91 9735352008,3.5,1872,Emergency services were very fast,13.171077,77.619456
Vijaya Hospital Electronic City,"97, Outer Ring Rd, Electronic City, Bangalore",+91 7688242773,3.7,1179,Affordable and reliable healthcare,12.915856,77.796671
Aster Hospital Whitefield,"64, 2nd Stage, Whitefield, Bangalore",+91 7763123050,4.5,2265,Clean hospital with quick service,13.01233,77.745231
Sparsh Hospital Domlur,"136, Ring Rd, Domlur, Bangalore",+91 7338721552,4.7,946,Emergency services were very fast,12.987162,77.748822
CityCare Hospital Electronic City,"8, 2nd Stage, Electronic City, Bangalore",+91 8199031800,3.2,386,Friendly nurses and well maintained facility,12.809627,77.436833
Fortis Hospital Indiranagar,"79, Ring Rd, Indiranagar, Bangalore",+91 9907824628,4.7,1221,Average waiting time but good treatment,13.094576,77.698492
Narayana Hospital Frazer Town,"150, Main Rd, Frazer Town, Bangalore",+91 6497198572,4,1527,Friendly nurses and well maintained facility,12.885066,77.452068
Greenview Hospital KR Puram,"151, Outer Ring Rd, KR Puram, Bangalore",+91 8020330609,3.2,1065,Clean hospital with quick service,13.197296,77.68862
Vijaya Hospital Jayanagar,"184, Hospital Rd, Jayanagar, Bangalore",+91 8416320965,3.6,177,Good doctors and supportive staff,12.995009,77.496262
Fortis Hospital Domlur,"7, Lake View Rd, Domlur, Bangalore",+91 6641712397,4,1578,Doctors explained the treatment clearly,12.829773,77.422311
PrimeCare Hospital Jayanagar,"86, Lake View Rd, Jayanagar, Bangalore",+91 8852573919,4.5,695,Doctors explained the treatment clearly,12.803179,77.550249
Vijaya Hospital Malleshwaram,"122, Main Rd, Malleshwaram, Bangalore",+91 9852958211,3.2,830,Doctors explained the treatment clearly,13.040851,77.753369
Shanthi Hospital Rajajinagar,"186, 2nd Stage, Rajajinagar, Bangalore",+91 6561816222,3.6,718,Affordable and reliable healthcare,13.118306,77.644086
PrimeCare Hospital Malleshwaram,"86, Main Rd, Malleshwaram, Bangalore",+91 9262373691,3.6,1301,Clean hospital with quick service,12.829196,77.554753
